locus_tag	ftype	length_bp	gene	EC_number	COG	product
KGIHCIOD_00001	tRNA	76				tRNA-Ala(tgc)
KGIHCIOD_00002	rRNA	79				5S ribosomal RNA (partial)
KGIHCIOD_00003	tRNA	74				tRNA-Ala(tgc)
KGIHCIOD_00004	tRNA	77				tRNA-Ile(gat)
KGIHCIOD_00005	tRNA	77				tRNA-Ile(gat)
KGIHCIOD_00006	tRNA	77				tRNA-Arg(acg)
KGIHCIOD_00007	tRNA	74				tRNA-Ala(tgc)
KGIHCIOD_00008	tRNA	77				tRNA-Ile(gat)
KGIHCIOD_00009	tRNA	76				tRNA-Glu(ttc)
KGIHCIOD_00010	rRNA	456				16S ribosomal RNA (partial)
KGIHCIOD_00011	CDS	264				hypothetical protein
KGIHCIOD_00012	CDS	168				hypothetical protein
KGIHCIOD_00013	CDS	255				hypothetical protein
KGIHCIOD_00014	CDS	231				hypothetical protein
KGIHCIOD_00015	CDS	654				hypothetical protein
KGIHCIOD_00016	CDS	855				hypothetical protein
KGIHCIOD_00017	CDS	354				hypothetical protein
KGIHCIOD_00018	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
KGIHCIOD_00019	CDS	375	yobA		COG2372	Protein YobA
KGIHCIOD_00020	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
KGIHCIOD_00021	CDS	657				hypothetical protein
KGIHCIOD_00022	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
KGIHCIOD_00023	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
KGIHCIOD_00024	CDS	660	yebE		COG2979	Inner membrane protein YebE
KGIHCIOD_00025	CDS	354	yebF			Protein YebF
KGIHCIOD_00026	CDS	291				hypothetical protein
KGIHCIOD_00027	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
KGIHCIOD_00028	CDS	642	eda		COG0800	KHG/KDPG aldolase
KGIHCIOD_00029	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
KGIHCIOD_00030	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
KGIHCIOD_00031	CDS	870	hexR_1		COG1737	HTH-type transcriptional regulator HexR
KGIHCIOD_00032	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
KGIHCIOD_00033	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
KGIHCIOD_00034	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
KGIHCIOD_00035	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
KGIHCIOD_00036	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
KGIHCIOD_00037	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
KGIHCIOD_00038	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
KGIHCIOD_00039	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
KGIHCIOD_00040	CDS	246				hypothetical protein
KGIHCIOD_00041	CDS	651				hypothetical protein
KGIHCIOD_00042	CDS	600				hypothetical protein
KGIHCIOD_00043	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
KGIHCIOD_00044	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
KGIHCIOD_00045	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
KGIHCIOD_00046	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
KGIHCIOD_00047	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
KGIHCIOD_00048	CDS	819				hypothetical protein
KGIHCIOD_00049	CDS	396	yecN		COG3788	Inner membrane protein YecN
KGIHCIOD_00050	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
KGIHCIOD_00051	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
KGIHCIOD_00052	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
KGIHCIOD_00053	CDS	570	yecM		COG3102	Protein YecM
KGIHCIOD_00054	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
KGIHCIOD_00055	CDS	1872	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
KGIHCIOD_00056	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
KGIHCIOD_00057	CDS	393	flhE			Flagellar protein FlhE
KGIHCIOD_00058	CDS	2079	flhA		COG1298	Flagellar biosynthesis protein FlhA
KGIHCIOD_00059	CDS	1152	flhB		COG1377	Flagellar biosynthetic protein FlhB
KGIHCIOD_00060	CDS	648	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
KGIHCIOD_00061	CDS	390	cheY		COG0784	Chemotaxis protein CheY
KGIHCIOD_00062	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
KGIHCIOD_00063	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
KGIHCIOD_00064	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
KGIHCIOD_00065	CDS	504	cheW		COG0835	Chemotaxis protein CheW
KGIHCIOD_00066	CDS	2016	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
KGIHCIOD_00067	CDS	930	motB		COG1360	Motility protein B
KGIHCIOD_00068	CDS	888	motA		COG1291	Motility protein A
KGIHCIOD_00069	CDS	579	flhC			Flagellar transcriptional regulator FlhC
KGIHCIOD_00070	CDS	342	flhD			Flagellar transcriptional regulator FlhD
KGIHCIOD_00071	CDS	429	uspC		COG0589	Universal stress protein C
KGIHCIOD_00072	CDS	1422	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
KGIHCIOD_00073	CDS	903	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
KGIHCIOD_00074	CDS	537	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
KGIHCIOD_00075	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
KGIHCIOD_00076	CDS	639				hypothetical protein
KGIHCIOD_00077	CDS	336				hypothetical protein
KGIHCIOD_00078	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
KGIHCIOD_00079	CDS	240				hypothetical protein
KGIHCIOD_00080	CDS	1269	tyrP		COG0814	Tyrosine-specific transport protein
KGIHCIOD_00081	CDS	666				hypothetical protein
KGIHCIOD_00082	CDS	192				hypothetical protein
KGIHCIOD_00083	CDS	1434				hypothetical protein
KGIHCIOD_00084	tRNA	87				tRNA-Leu(taa)
KGIHCIOD_00085	tRNA	74				tRNA-Cys(gca)
