locus_tag	ftype	length_bp	gene	EC_number	COG	product
BNEGNLPN_00001	CDS	660	cat	2.3.1.28		Chloramphenicol acetyltransferase
BNEGNLPN_00002	rRNA	401				16S ribosomal RNA (partial)
BNEGNLPN_00003	tRNA	76				tRNA-Ala(tgc)
BNEGNLPN_00004	tRNA	77				tRNA-Ile(gat)
BNEGNLPN_00005	CDS	372				hypothetical protein
BNEGNLPN_00006	rRNA	80				5S ribosomal RNA (partial)
BNEGNLPN_00007	tRNA	76				tRNA-Glu(ttc)
BNEGNLPN_00008	tRNA	76				tRNA-Ala(tgc)
BNEGNLPN_00009	tRNA	77				tRNA-Ile(gat)
BNEGNLPN_00010	CDS	372				hypothetical protein
BNEGNLPN_00011	CDS	174				hypothetical protein
BNEGNLPN_00012	CDS	105				hypothetical protein
BNEGNLPN_00013	CDS	876				hypothetical protein
BNEGNLPN_00014	CDS	759				hypothetical protein
BNEGNLPN_00015	CDS	213				hypothetical protein
BNEGNLPN_00016	CDS	1146	ompN_1		COG3203	Outer membrane porin N
BNEGNLPN_00017	CDS	282	yedR			Inner membrane protein YedR
BNEGNLPN_00018	CDS	708	yedJ		COG1418	putative protein YedJ
BNEGNLPN_00019	CDS	1401	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
BNEGNLPN_00020	CDS	498	vsr	3.1.-.-	COG3727	Very short patch repair protein
BNEGNLPN_00021	CDS	912	yedA			putative inner membrane transporter YedA
BNEGNLPN_00022	CDS	912	yedI		COG2354	Inner membrane protein YedI
BNEGNLPN_00023	CDS	1680	dgcQ	2.7.7.65		putative diguanylate cyclase DgcQ
BNEGNLPN_00024	CDS	225				hypothetical protein
BNEGNLPN_00025	CDS	192	dsrB			Protein DsrB
BNEGNLPN_00026	CDS	624	rcsA		COG2771	Transcriptional regulatory protein RcsA
BNEGNLPN_00027	CDS	432				hypothetical protein
BNEGNLPN_00028	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
BNEGNLPN_00029	CDS	768	fliY_1		COG0834	L-cystine-binding protein FliY
BNEGNLPN_00030	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
BNEGNLPN_00031	CDS	669	yecS_1		COG0765	L-cystine transport system permease protein YecS
BNEGNLPN_00032	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
BNEGNLPN_00033	CDS	723	sdiA		COG2771	Regulatory protein SdiA
BNEGNLPN_00034	CDS	225				hypothetical protein
BNEGNLPN_00035	CDS	657	uvrY		COG2197	Response regulator UvrY
BNEGNLPN_00036	CDS	1833	uvrC		COG0322	UvrABC system protein C
BNEGNLPN_00037	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
BNEGNLPN_00038	tRNA	76				tRNA-Gly(gcc)
BNEGNLPN_00039	tRNA	74				tRNA-Cys(gca)
BNEGNLPN_00040	tRNA	87				tRNA-Leu(taa)
BNEGNLPN_00041	CDS	882	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
BNEGNLPN_00042	CDS	669				hypothetical protein
BNEGNLPN_00043	CDS	1143	tyrP		COG0814	Tyrosine-specific transport protein
BNEGNLPN_00044	CDS	240				hypothetical protein
BNEGNLPN_00045	CDS	498	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
BNEGNLPN_00046	CDS	639				hypothetical protein
BNEGNLPN_00047	CDS	1422	hsrA_1			putative transport protein HsrA
BNEGNLPN_00048	CDS	252				hypothetical protein
BNEGNLPN_00049	CDS	1563	yagG_1		COG2211	Putative glycoside/cation symporter YagG
BNEGNLPN_00050	CDS	510	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
BNEGNLPN_00051	CDS	981	araF		COG1879	L-arabinose-binding periplasmic protein
BNEGNLPN_00052	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
BNEGNLPN_00053	CDS	981	araH		COG1172	L-arabinose transport system permease protein AraH
BNEGNLPN_00054	CDS	789	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
BNEGNLPN_00055	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
BNEGNLPN_00056	CDS	429	uspC		COG0589	Universal stress protein C
BNEGNLPN_00057	CDS	1584	yagG_2		COG2211	Putative glycoside/cation symporter YagG
BNEGNLPN_00058	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
BNEGNLPN_00059	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
BNEGNLPN_00060	CDS	570	yecM		COG3102	Protein YecM
BNEGNLPN_00061	CDS	744	cutC_1		COG3142	Copper homeostasis protein CutC
BNEGNLPN_00062	CDS	1005	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
BNEGNLPN_00063	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
BNEGNLPN_00064	CDS	396	yecN		COG3788	Inner membrane protein YecN
BNEGNLPN_00065	CDS	819				hypothetical protein
BNEGNLPN_00066	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
BNEGNLPN_00067	CDS	1788	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
BNEGNLPN_00068	CDS	444	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
BNEGNLPN_00069	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
BNEGNLPN_00070	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
BNEGNLPN_00071	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
BNEGNLPN_00072	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
BNEGNLPN_00073	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
BNEGNLPN_00074	CDS	753	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
BNEGNLPN_00075	CDS	960	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
BNEGNLPN_00076	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
BNEGNLPN_00077	CDS	975	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
BNEGNLPN_00078	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
BNEGNLPN_00079	CDS	888	hexR_1		COG1737	HTH-type transcriptional regulator HexR
BNEGNLPN_00080	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
BNEGNLPN_00081	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
BNEGNLPN_00082	CDS	642	eda		COG0800	KHG/KDPG aldolase
BNEGNLPN_00083	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
BNEGNLPN_00084	CDS	348				hypothetical protein
BNEGNLPN_00085	CDS	660	yebE		COG2979	Inner membrane protein YebE
BNEGNLPN_00086	CDS	2028	ptrB	3.4.21.83	COG1770	Protease 2
BNEGNLPN_00087	CDS	660	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
BNEGNLPN_00088	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
BNEGNLPN_00089	CDS	375	yobA		COG2372	Protein YobA
BNEGNLPN_00090	CDS	870	yebZ		COG1276	Inner membrane protein YebZ
BNEGNLPN_00091	CDS	339				hypothetical protein
BNEGNLPN_00092	CDS	1011			COG2990	putative protein
BNEGNLPN_00093	CDS	654	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
BNEGNLPN_00094	CDS	192				hypothetical protein
BNEGNLPN_00095	CDS	240	yebV			putative protein YebV
BNEGNLPN_00096	CDS	1389	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
BNEGNLPN_00097	CDS	2634	yebT		COG3008	Intermembrane transport protein YebT
BNEGNLPN_00098	CDS	1284	yebS		COG2995	Intermembrane transport protein YebS
BNEGNLPN_00099	CDS	555	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
BNEGNLPN_00100	CDS	678	proQ		COG3109	RNA chaperone ProQ
BNEGNLPN_00101	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
BNEGNLPN_00102	CDS	885	htpX	3.4.24.-	COG0501	Protease HtpX
BNEGNLPN_00103	CDS	1371	ribZ_1			Riboflavin transporter RibZ
BNEGNLPN_00104	CDS	792	kdgR_1		COG1414	Transcriptional regulator KdgR
BNEGNLPN_00105	CDS	240				hypothetical protein
BNEGNLPN_00106	CDS	291				hypothetical protein
BNEGNLPN_00107	CDS	210	cspC			Cold shock-like protein CspC
BNEGNLPN_00108	CDS	1746	ftsI_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
BNEGNLPN_00109	CDS	795	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
BNEGNLPN_00110	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
BNEGNLPN_00111	CDS	459				hypothetical protein
BNEGNLPN_00112	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
BNEGNLPN_00113	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
BNEGNLPN_00114	CDS	972	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
BNEGNLPN_00115	CDS	1560				hypothetical protein
BNEGNLPN_00116	CDS	1578	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
