geneNames	transcriptNames	id	fc	pval	qval
.	gene-HT085_RS04010	808	18.1060795164702	4.75068569363302e-05	0.0496781368764718
.	gene-HT085_RS02815	568	0.35416670241222	4.8372090434734e-05	0.0496781368764718
.	gene-HT085_RS03985	803	3.29385348513755	0.000110438365884535	0.0756134678422785
.	gene-HT085_RS05650	1140	16.5729785078193	0.000184722961748429	0.0761185221426219
hemW	gene-HT085_RS01555	312	2.93265576307699	0.000217405519026492	0.0761185221426219
.	MSTRG.1040.1	1478	9.47119076859253	0.000235882994676029	0.0761185221426219
.	gene-HT085_RS00940	191	3.24555201083291	0.000259410737584398	0.0761185221426219
tdfF	gene-HT085_RS00105	21	3.62324664502189	0.000309137092554979	0.0793709485134907
.	gene-HT085_RS02900	586	4.49189087612318	0.000631883064845962	0.116835587180252
.	gene-HT085_RS02915	589	2.52890982517817	0.000810366359646597	0.116835587180252
hisI	gene-HT085_RS01410	285	4.09910867728264	0.00111170337530808	0.116835587180252
.	gene-HT085_RS00960	194	0.611989094210469	0.00115727240589081	0.116835587180252
.	gene-HT085_RS02845	574	10.4860704320516	0.00121301575515864	0.116835587180252
.	gene-HT085_RS09380	1907	2.55695797123488	0.00140220986756034	0.116835587180252
ubiE	gene-HT085_RS02025	405	0.851536002116079	0.00147898077745723	0.116835587180252
.	gene-HT085_RS02290	459	29.5224845140021	0.00154307660918485	0.116835587180252
petA	gene-HT085_RS09255	1883	0.233035420763777	0.00159178247084579	0.116835587180252
.	gene-HT085_RS03070	620	0.837565179090217	0.00171271817324992	0.116835587180252
nudB	gene-HT085_RS01480	299	3.30364869828843	0.00185271938147191	0.116835587180252
pdxJ	gene-HT085_RS07365	1488	10.8541703706985	0.00186452264335579	0.116835587180252
.	MSTRG.352.1	539	0.294112422941517	0.00210522357234222	0.116835587180252
cysT	gene-HT085_RS02665	536	3.88357113831496	0.00217682363287031	0.116835587180252
.	gene-HT085_RS11960	1862	5.9982508304029	0.00227280319895362	0.116835587180252
.	gene-HT085_RS00405	82	2.07229125974839	0.00231102037723763	0.116835587180252
.	gene-HT085_RS04870	978	0.231727272063336	0.00248529479330184	0.116835587180252
aceF	gene-HT085_RS03235	654	1.68622575068492	0.0026029090293882	0.116835587180252
lon	gene-HT085_RS04320	871	6.5038620796332	0.00300500492575528	0.116835587180252
.	MSTRG.651.15	1269	11707.9600546223	0.00326414012193987	0.116835587180252
.	MSTRG.651.13	1268	831.231411362217	0.00326414012193987	0.116835587180252
.	MSTRG.435.1	692	78.1158849869136	0.00326414012193987	0.116835587180252
.	gene-HT085_RS03905	789	20.6839633334834	0.00326414012193987	0.116835587180252
.	gene-HT085_RS12045	983	7.72816770842598	0.00326414012193987	0.116835587180252
.	gene-HT085_RS03475	701	7.57121011869583	0.00326414012193987	0.116835587180252
.	gene-HT085_RS04860	976	6.78184073161345	0.00326414012193987	0.116835587180252
.	gene-HT085_RS08005	1617	6.69418542392353	0.00326414012193987	0.116835587180252
.	gene-HT085_RS07150	1445	6.68143297025024	0.00326414012193987	0.116835587180252
.	gene-HT085_RS05860	1183	6.60416983512273	0.00326414012193987	0.116835587180252
.	gene-HT085_RS09585	1948	6.4557979221869	0.00326414012193987	0.116835587180252
.	gene-HT085_RS06015	1215	6.34722639766791	0.00326414012193987	0.116835587180252
.	gene-HT085_RS03200	647	6.03834611722431	0.00326414012193987	0.116835587180252
.	gene-HT085_RS03665	739	5.49796080332344	0.00326414012193987	0.116835587180252
.	gene-HT085_RS12120	332	5.47086680893019	0.00326414012193987	0.116835587180252
.	gene-HT085_RS02255	452	4.70302476556516	0.00326414012193987	0.116835587180252
.	gene-HT085_RS07665	1548	4.33975371034598	0.00326414012193987	0.116835587180252
.	gene-HT085_RS02250	451	4.31681640659381	0.00326414012193987	0.116835587180252
thiS	gene-HT085_RS09375	1906	4.31156888091957	0.00326414012193987	0.116835587180252
.	gene-HT085_RS04675	940	4.17618253159994	0.00326414012193987	0.116835587180252
.	gene-HT085_RS04460	899	3.99730063220352	0.00326414012193987	0.116835587180252
.	gene-HT085_RS12135	797	3.86125689262568	0.00326414012193987	0.116835587180252
.	gene-HT085_RS00615	127	3.74424449232252	0.00326414012193987	0.116835587180252
.	gene-HT085_RS07845	1584	3.55280029233205	0.00326414012193987	0.116835587180252
.	gene-HT085_RS02925	591	3.42151841202329	0.00326414012193987	0.116835587180252
.	gene-HT085_RS12110	166	3.42033465901506	0.00326414012193987	0.116835587180252
.	gene-HT085_RS02305	462	3.35424508029364	0.00326414012193987	0.116835587180252
.	gene-HT085_RS02835	572	3.31684726849636	0.00326414012193987	0.116835587180252
.	gene-HT085_RS05170	1036	3.05328576663232	0.00326414012193987	0.116835587180252
.	gene-HT085_RS11610	83	3.04756572350683	0.00326414012193987	0.116835587180252
